"Stem", "Frequency", "Rank", "Probability"
"deutschland", 703, 1, 0.0173941
"deutsch", 474, 2, 0.011728
"germani", 347, 3, 0.00858571
"e", 220, 4, 0.00544339
"work", 200, 5, 0.00494854
"x", 191, 6, 0.00472585
"wechseln", 172, 7, 0.00425574
"skill", 163, 8, 0.00403306
"german", 161, 9, 0.00398357
"item", 156, 10, 0.00385986
"sprach", 154, 11, 0.00381037
"polit", 149, 12, 0.00368666
"deutschland.d", 136, 13, 0.003365
"schliess", 135, 14, 0.00334026
"offn", 133, 15, 0.00329078
"n", 124, 16, 0.00306809
"mehr", 123, 17, 0.00304335
"servic", 122, 18, 0.00301861
"land", 116, 19, 0.00287015
"leb", 114, 20, 0.00282067
"kultur", 113, 21, 0.00279592
"worker", 110, 22, 0.00272169
"startseit", 110, 23, 0.00272169
"app", 107, 24, 0.00264747
"germany", 105, 25, 0.00259798
"wirtschaft", 105, 26, 0.00259798
"job", 104, 27, 0.00257324
"english", 101, 28, 0.00249901
"region", 101, 29, 0.00249901
"wiss", 101, 30, 0.00249901
"youtub", 100, 31, 0.00247427
"h", 97, 32, 0.00240004
"inhalt", 97, 33, 0.00240004
"news", 97, 34, 0.00240004
"umwelt", 96, 35, 0.0023753
"arbeit", 95, 36, 0.00235055
"find", 95, 37, 0.00235055
"facebook", 94, 38, 0.00232581
"telegram", 92, 39, 0.00227633
"peopl", 91, 40, 0.00225158
"gebardensprach", 90, 41, 0.00222684
"lateinamerika", 89, 42, 0.0022021
"impressum", 89, 43, 0.0022021
"sprachmenu", 87, 44, 0.00215261
"newslett", 86, 45, 0.00212787
"neu", 86, 46, 0.00212787
"metamenu", 86, 47, 0.00212787
"partnerangebot", 86, 48, 0.00212787
"social-media-kanal", 86, 49, 0.00212787
"r", 85, 50, 0.00210313